# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = inference_model_yeast_exp_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/out/input_data_yeast_exp.json
# init = /var/folders/dg/rm_5w1r54719cfv7q8cj0nkjnz2j8q/T/tmph6eua06f/1f1gg5ey.json
# random
#   seed = 63928
# output
#   file = /Users/nicow/Maud/data/out/inference_model_yeast_exp-202003031326-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,formation_energy.1,formation_energy.2,formation_energy.3,formation_energy.4,formation_energy.5,formation_energy.6,formation_energy.7,formation_energy.8,formation_energy.9,formation_energy.10,formation_energy.11,formation_energy.12,formation_energy.13,kinetic_parameters.1,kinetic_parameters.2,kinetic_parameters.3,kinetic_parameters.4,kinetic_parameters.5,kinetic_parameters.6,kinetic_parameters.7,kinetic_parameters.8,kinetic_parameters.9,kinetic_parameters.10,kinetic_parameters.11,kinetic_parameters.12,kinetic_parameters.13,kinetic_parameters.14,kinetic_parameters.15,kinetic_parameters.16,kinetic_parameters.17,kinetic_parameters.18,kinetic_parameters.19,kinetic_parameters.20,kinetic_parameters.21,kinetic_parameters.22,kinetic_parameters.23,kinetic_parameters.24,kinetic_parameters.25,kinetic_parameters.26,kinetic_parameters.27,kinetic_parameters.28,kinetic_parameters.29,kinetic_parameters.30,kinetic_parameters.31,kinetic_parameters.32,kinetic_parameters.33,kinetic_parameters.34,enzyme_concentration.1.1,enzyme_concentration.2.1,enzyme_concentration.1.2,enzyme_concentration.2.2,enzyme_concentration.1.3,enzyme_concentration.2.3,enzyme_concentration.1.4,enzyme_concentration.2.4,enzyme_concentration.1.5,enzyme_concentration.2.5,enzyme_concentration.1.6,enzyme_concentration.2.6,enzyme_concentration.1.7,enzyme_concentration.2.7,enzyme_concentration.1.8,enzyme_concentration.2.8,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc_unbalanced.1.3,conc_unbalanced.2.3,conc_unbalanced.1.4,conc_unbalanced.2.4,conc_unbalanced.1.5,conc_unbalanced.2.5,conc_unbalanced.1.6,conc_unbalanced.2.6,conc_unbalanced.1.7,conc_unbalanced.2.7,conc_unbalanced.1.8,conc_unbalanced.2.8,initial_time,conc.1.1,conc.2.1,conc.1.2,conc.2.2,conc.1.3,conc.2.3,conc.1.4,conc.2.4,conc.1.5,conc.2.5,conc.1.6,conc.2.6,conc.1.7,conc.2.7,conc.1.8,conc.2.8,conc.1.9,conc.2.9,conc.1.10,conc.2.10,conc.1.11,conc.2.11,conc.1.12,conc.2.12,conc.1.13,conc.2.13,conc.1.14,conc.2.14,flux.1.1,flux.2.1,flux.1.2,flux.2.2,flux.1.3,flux.2.3,flux.1.4,flux.2.4,flux.1.5,flux.2.5,flux.1.6,flux.2.6,flux.1.7,flux.2.7,flux.1.8,flux.2.8,delta_g.1,delta_g.2,delta_g.3,delta_g.4,delta_g.5,delta_g.6,delta_g.7,delta_g.8,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yconc_sim.6,yconc_sim.7,yconc_sim.8,yconc_sim.9,yconc_sim.10,yconc_sim.11,yconc_sim.12,yconc_sim.13,yconc_sim.14,yconc_sim.15,yconc_sim.16,yconc_sim.17,yconc_sim.18,yconc_sim.19,yconc_sim.20,yenz_sim.1,yenz_sim.2,yenz_sim.3,yenz_sim.4,yenz_sim.5,yenz_sim.6,yenz_sim.7,yenz_sim.8,yenz_sim.9,yenz_sim.10,yenz_sim.11,yenz_sim.12,yenz_sim.13,yenz_sim.14,yenz_sim.15,yenz_sim.16,yflux_sim.1,yflux_sim.2,yflux_sim.3,yflux_sim.4,log_like.1,log_like.2,log_like.3,log_like.4,log_like.5,log_like.6,log_like.7,log_like.8,log_like.9,log_like.10,log_like.11,log_like.12,log_like.13,log_like.14,log_like.15,log_like.16,log_like.17,log_like.18,log_like.19,log_like.20,log_like.21,log_like.22,log_like.23,log_like.24
-75228.2,1,0.00195312,2,3,0,164091,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2218.99,-1111.9,-1073.3,0.97972,0.899403,2.06345,0.200911,0.19456,30.0027,0.229509,63.2174,1.0334,0.3097,487.922,0.102793,0.727314,0.108359,0.990739,203.885,0.449644,1.99804,2.40035,4.09001,6.4442,5.23386,567.103,0.423564,0.0897796,1.50475,0.0602267,0.908646,19.0344,0.201399,0.00300366,4.57938,1.9872,58.0491,0.615637,0.339852,0.999951,0.289827,0.153854,0.528486,0.15247,0.498008,0.0722374,0.419917,0.0772254,0.34974,0.0330278,0.678985,0.0329522,0.610603,4.04058,0.0193671,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,0.530369,3.3224,0.421556,2.664,0,4.04058,0.0193671,0.00427399,0.00231159,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,7.4272,0.109412,2.60816,0.0396274,354.434,3.44259,0.0648417,0.360457,3.81449e-05,6.05444e-05,0.530369,3.3224,0.421556,2.664,1.0204,0.0119413,1.0204,0.0119413,1.00567,0.0119413,1.00049,0.0119413,0.294884,0.0119413,-0.412605,0.0893338,-0.117721,0.101275,-0.117721,0.101275,0,-17.3056,2.51614,-14.9073,2.59319,5.5022,24.9097,-18.4034,3.92267,7.0569,0.076179,353.748,0.502396,0.0975959,0.240453,0.450903,0.319168,4.25099,0.0199441,0.102994,0.013696,3.6682,3.64249,0.0170249,0.0304107,2.76728,0.0395363,0.0153511,0.418744,1.02184,0.163256,0.149811,0.0733645,0.0744085,0.030516,0.0312518,0.303867,0.299056,0.512146,0.541333,0.425517,0.347247,0.664941,0.575855,0.997069,-0.4176,0.00553815,0.0909245,-17666.8,-4576.88,-111.389,3.14183,-0.857199,-2460.76,-96.3154,-17141.2,-2290.66,-502.957,-108.824,-858.402,-287.922,-1344.66,-5887.24,-41.3806,-99.4018,-4709.72,-5945.51,1.55624,-1410.27,1.09802,-98.6538,-1553.23
-75228.2,0,14.3855,0,1,1,75263.4,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2218.99,-1111.9,-1073.3,0.97972,0.899403,2.06345,0.200911,0.19456,30.0027,0.229509,63.2174,1.0334,0.3097,487.922,0.102793,0.727314,0.108359,0.990739,203.885,0.449644,1.99804,2.40035,4.09001,6.4442,5.23386,567.103,0.423564,0.0897796,1.50475,0.0602267,0.908646,19.0344,0.201399,0.00300366,4.57938,1.9872,58.0491,0.615637,0.339852,0.999951,0.289827,0.153854,0.528486,0.15247,0.498008,0.0722374,0.419917,0.0772254,0.34974,0.0330278,0.678985,0.0329522,0.610603,4.04058,0.0193671,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,0.530369,3.3224,0.421556,2.664,0,4.04058,0.0193671,0.00427399,0.00231159,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,7.4272,0.109412,2.60816,0.0396274,354.434,3.44259,0.0648417,0.360457,3.81449e-05,6.05444e-05,0.530369,3.3224,0.421556,2.664,1.0204,0.0119413,1.0204,0.0119413,1.00567,0.0119413,1.00049,0.0119413,0.294884,0.0119413,-0.412605,0.0893338,-0.117721,0.101275,-0.117721,0.101275,0,-17.3056,2.51614,-14.9073,2.59319,5.5022,24.9097,-18.4034,3.88212,6.515,0.0784959,347.127,0.537531,0.0979237,0.260736,0.415888,0.307187,4.33889,0.0174054,0.109439,0.0142783,3.27279,3.29893,0.0185451,0.0296805,2.60149,0.0369686,0.0158674,0.964684,0.994753,0.155608,0.15206,0.0730299,0.0745876,0.0315161,0.0338718,0.451452,0.278055,0.531693,0.490986,0.433128,0.329923,0.639109,0.562688,0.996225,-0.413865,0.0119203,0.0884179,-17666.8,-4576.88,-111.389,3.14183,-0.857199,-2460.76,-96.3154,-17141.2,-2290.66,-502.957,-108.824,-858.402,-287.922,-1344.66,-5887.24,-41.3806,-99.4018,-4709.72,-5945.51,1.55624,-1410.27,1.09802,-98.6538,-1553.23
-75228.2,0,2.43117,0,1,1,75265.3,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2218.99,-1111.9,-1073.3,0.97972,0.899403,2.06345,0.200911,0.19456,30.0027,0.229509,63.2174,1.0334,0.3097,487.922,0.102793,0.727314,0.108359,0.990739,203.885,0.449644,1.99804,2.40035,4.09001,6.4442,5.23386,567.103,0.423564,0.0897796,1.50475,0.0602267,0.908646,19.0344,0.201399,0.00300366,4.57938,1.9872,58.0491,0.615637,0.339852,0.999951,0.289827,0.153854,0.528486,0.15247,0.498008,0.0722374,0.419917,0.0772254,0.34974,0.0330278,0.678985,0.0329522,0.610603,4.04058,0.0193671,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,0.530369,3.3224,0.421556,2.664,0,4.04058,0.0193671,0.00427399,0.00231159,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,7.4272,0.109412,2.60816,0.0396274,354.434,3.44259,0.0648417,0.360457,3.81449e-05,6.05444e-05,0.530369,3.3224,0.421556,2.664,1.0204,0.0119413,1.0204,0.0119413,1.00567,0.0119413,1.00049,0.0119413,0.294884,0.0119413,-0.412605,0.0893338,-0.117721,0.101275,-0.117721,0.101275,0,-17.3056,2.51614,-14.9073,2.59319,5.5022,24.9097,-18.4034,4.18837,7.79964,0.0787338,350.307,0.527792,0.0916007,0.252369,0.436228,0.33433,4.10969,0.019781,0.106496,0.0143427,3.38253,3.17299,0.0169264,0.0304305,2.63376,0.0337159,0.0166764,0.537298,0.836563,0.150731,0.153184,0.0723097,0.0754981,0.0327605,0.0335394,0.254832,0.27845,0.508352,0.496756,0.370897,0.307854,0.694011,0.721992,1.00394,-0.414228,0.0026927,0.102725,-17666.8,-4576.88,-111.389,3.14183,-0.857199,-2460.76,-96.3154,-17141.2,-2290.66,-502.957,-108.824,-858.402,-287.922,-1344.66,-5887.24,-41.3806,-99.4018,-4709.72,-5945.51,1.55624,-1410.27,1.09802,-98.6538,-1553.23
-75228.2,0,0.239791,0,1,1,75269.8,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2218.99,-1111.9,-1073.3,0.97972,0.899403,2.06345,0.200911,0.19456,30.0027,0.229509,63.2174,1.0334,0.3097,487.922,0.102793,0.727314,0.108359,0.990739,203.885,0.449644,1.99804,2.40035,4.09001,6.4442,5.23386,567.103,0.423564,0.0897796,1.50475,0.0602267,0.908646,19.0344,0.201399,0.00300366,4.57938,1.9872,58.0491,0.615637,0.339852,0.999951,0.289827,0.153854,0.528486,0.15247,0.498008,0.0722374,0.419917,0.0772254,0.34974,0.0330278,0.678985,0.0329522,0.610603,4.04058,0.0193671,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,0.530369,3.3224,0.421556,2.664,0,4.04058,0.0193671,0.00427399,0.00231159,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,7.4272,0.109412,2.60816,0.0396274,354.434,3.44259,0.0648417,0.360457,3.81449e-05,6.05444e-05,0.530369,3.3224,0.421556,2.664,1.0204,0.0119413,1.0204,0.0119413,1.00567,0.0119413,1.00049,0.0119413,0.294884,0.0119413,-0.412605,0.0893338,-0.117721,0.101275,-0.117721,0.101275,0,-17.3056,2.51614,-14.9073,2.59319,5.5022,24.9097,-18.4034,4.19116,7.52315,0.0793049,364.424,0.518112,0.0977859,0.25399,0.441675,0.29587,4.31006,0.0187477,0.101753,0.01257,3.41972,3.56523,0.0177795,0.0304021,2.6356,0.0371923,0.0155681,0.504961,0.991165,0.150197,0.150604,0.0662262,0.0731039,0.0303844,0.030574,0.306075,0.29571,0.53319,0.52753,0.427668,0.344211,0.626374,0.640264,0.997625,-0.411028,0.0118141,0.091371,-17666.8,-4576.88,-111.389,3.14183,-0.857199,-2460.76,-96.3154,-17141.2,-2290.66,-502.957,-108.824,-858.402,-287.922,-1344.66,-5887.24,-41.3806,-99.4018,-4709.72,-5945.51,1.55624,-1410.27,1.09802,-98.6538,-1553.23
-75228.2,0,0.0186273,0,1,1,75261.2,-446.802,-2313,-1440.8,-1222.9,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2218.99,-1111.9,-1073.3,0.97972,0.899403,2.06345,0.200911,0.19456,30.0027,0.229509,63.2174,1.0334,0.3097,487.922,0.102793,0.727314,0.108359,0.990739,203.885,0.449644,1.99804,2.40035,4.09001,6.4442,5.23386,567.103,0.423564,0.0897796,1.50475,0.0602267,0.908646,19.0344,0.201399,0.00300366,4.57938,1.9872,58.0491,0.615637,0.339852,0.999951,0.289827,0.153854,0.528486,0.15247,0.498008,0.0722374,0.419917,0.0772254,0.34974,0.0330278,0.678985,0.0329522,0.610603,4.04058,0.0193671,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,0.530369,3.3224,0.421556,2.664,0,4.04058,0.0193671,0.00427399,0.00231159,4.26454,0.01548,0.319611,0.0369433,0.251638,0.029501,0.095143,0.0179496,0.0752845,0.0141964,7.4272,0.109412,2.60816,0.0396274,354.434,3.44259,0.0648417,0.360457,3.81449e-05,6.05444e-05,0.530369,3.3224,0.421556,2.664,1.0204,0.0119413,1.0204,0.0119413,1.00567,0.0119413,1.00049,0.0119413,0.294884,0.0119413,-0.412605,0.0893338,-0.117721,0.101275,-0.117721,0.101275,0,-17.3056,2.51614,-14.9073,2.59319,5.5022,24.9097,-18.4034,3.75624,7.00904,0.0750267,365.691,0.544938,0.0983394,0.260621,0.41887,0.316715,4.18084,0.0192728,0.102801,0.0143333,3.54656,3.41163,0.0184793,0.0302715,2.71982,0.0361491,0.0151165,0.755942,1.00854,0.149657,0.149808,0.0715784,0.0779972,0.029723,0.0323972,0.294834,0.270394,0.527802,0.468628,0.415811,0.334743,0.640834,0.603952,1.00198,-0.412694,0.0181483,0.084012,-17666.8,-4576.88,-111.389,3.14183,-0.857199,-2460.76,-96.3154,-17141.2,-2290.66,-502.957,-108.824,-858.402,-287.922,-1344.66,-5887.24,-41.3806,-99.4018,-4709.72,-5945.51,1.55624,-1410.27,1.09802,-98.6538,-1553.23
-64247.4,1,0.00130482,2,3,0,74832.1,-446.802,-2313,-1440.8,-1222.89,-1158.7,-1365.2,-1336.31,-1333.79,-2220.9,-1106.4,-2218.99,-1111.91,-1073.3,1.00996,0.902004,1.79796,0.200689,0.195795,29.9207,0.229553,63.1976,1.02997,0.308529,490.698,0.102946,0.727702,0.108948,0.993461,204.046,0.449166,1.99709,2.39732,4.03463,6.46316,5.21454,566.502,0.423422,0.0896654,1.50726,0.060364,0.905994,19.0214,0.203368,0.0030349,4.57223,1.97848,57.6345,0.531074,0.33896,0.999693,0.289548,0.153967,0.525974,0.152499,0.494964,0.0717987,0.420158,0.0769666,0.348876,0.0330289,0.677004,0.0330181,0.610987,3.92518,0.0194923,4.2538,0.0155158,0.319941,0.0370581,0.251376,0.0295851,0.0944712,0.017925,0.0748926,0.0142414,0.525911,3.25142,0.423404,2.64997,0,3.92518,0.0194923,0.00299653,0.00201092,4.2538,0.0155158,0.319941,0.0370581,0.251376,0.0295851,0.0944712,0.017925,0.0748926,0.0142414,3.60742,0.0975715,1.27456,0.0353218,231.988,3.28304,0.0641658,0.352424,3.724e-05,5.94844e-05,0.525911,3.25142,0.423404,2.64997,0.758348,0.0103265,0.758348,0.0103265,0.751236,0.0103265,0.748715,0.0103265,0.288836,0.0103265,-0.402563,0.0869145,-0.113727,0.0972409,-0.113727,0.0972409,0,-17.3008,2.51742,-14.9039,2.58778,5.50456,24.9028,-18.4147,3.89394,3.71811,0.074545,225.735,0.528419,0.0886487,0.242669,0.453079,0.343646,4.28026,0.0195324,0.0974496,0.0140966,3.01174,3.14523,0.0178383,0.029076,2.8863,0.0357725,0.0165205,0.478744,1.05469,0.161009,0.152775,0.0752989,0.0788159,0.0340057,0.0340227,0.29581,0.283754,0.505708,0.510239,0.438489,0.363933,0.667578,0.609101,0.749783,-0.400689,0.0143708,0.0851539,-9468.21,-4386.65,-116.356,2.26353,-2.01277,-1551.08,-94.8321,-15607.4,-2279.23,-498.445,-109.135,-854.779,-288.421,-1342.04,-5873.25,-65.7819,-98.4858,-4618,-5898.48,1.63976,-1407.25,1.09562,-97.7633,-1550.65
-39639.9,1,0.00189104,5,31,0,62286.9,-446.806,-2313.02,-1440.79,-1222.89,-1158.71,-1365.22,-1336.31,-1333.82,-2220.87,-1106.4,-2218.97,-1111.94,-1073.31,1.15345,0.89515,0.942425,0.199896,0.193748,29.9422,0.228641,63.0976,1.0276,0.305367,491.747,0.10111,0.721062,0.107975,0.998426,205.282,0.447629,1.99408,2.40381,3.92584,6.37037,5.16964,564.037,0.419998,0.0900595,1.50778,0.0604606,0.89881,19.0345,0.209977,0.00321646,4.57921,1.90395,54.9333,0.276113,0.341838,0.974315,0.284422,0.153393,0.507897,0.152554,0.481147,0.0705257,0.416277,0.0787293,0.349231,0.0340682,0.679151,0.0323498,0.607593,3.40245,0.0209053,4.09555,0.0155434,0.320333,0.0371251,0.253816,0.0306425,0.0923423,0.0181541,0.0707473,0.0142837,0.505646,2.78921,0.434535,2.6523,0,3.40245,0.0209053,0.000706613,0.00106722,4.09555,0.0155434,0.320333,0.0371251,0.253816,0.0306425,0.0923423,0.0181541,0.0707473,0.0142837,0.0117602,0.0547571,0.00331816,0.0200568,1.62732,2.31131,0.0586965,0.297437,2.8742e-05,5.2302e-05,0.505646,2.78921,0.434535,2.6523,0.194256,0.00543577,0.194256,0.00543577,0.194256,0.00543577,0.194256,0.00543577,0.194256,0.00543577,-0.281987,0.0687955,-0.0877312,0.0742312,-0.0877312,0.0742312,0,-17.266,2.48844,-14.8163,2.52725,5.54541,24.9144,-18.4814,3.34134,0.0118161,0.0706387,1.66581,0.481231,0.099877,0.256258,0.451712,0.307912,4.20989,0.0226436,0.0547103,0.0148155,2.26393,2.6974,0.0196918,0.0302969,2.84721,0.0388396,0.0155991,0.356093,1.02898,0.143061,0.152033,0.069361,0.076105,0.0346407,0.0334335,0.292128,0.311903,0.50151,0.519915,0.436412,0.34378,0.687523,0.598512,0.193681,-0.281206,-0.00145431,0.0772264,-353.39,-2417.52,-132.034,-11.757,-12.6259,-1722.74,-79.3584,-2998.65,-2226.4,-484.069,-106.264,-833.444,-289.014,-1303,-5722.53,-268.833,-97.6318,-3967.66,-5569.92,0.8361,-1370.2,1.09679,-97.2472,-1548.67
-37732.2,1,0.00305706,2,3,0,39614.7,-446.807,-2313.04,-1440.77,-1222.89,-1158.71,-1365.22,-1336.32,-1333.81,-2220.86,-1106.4,-2218.96,-1111.96,-1073.31,1.19068,0.902549,0.870713,0.198055,0.193495,29.767,0.23006,63.0065,1.03565,0.305398,490.863,0.102664,0.72727,0.10709,0.981454,202.001,0.44357,2.01227,2.40763,4.10016,6.37544,5.13684,566.278,0.420794,0.0897454,1.51125,0.0604328,0.891526,19.1144,0.211196,0.00324163,4.54941,1.86779,53.7538,0.252048,0.342628,0.956846,0.282657,0.152483,0.509765,0.148562,0.46763,0.0748168,0.415024,0.080006,0.350298,0.0346461,0.673922,0.0324079,0.609188,3.32613,0.0219582,3.87342,0.0157365,0.320608,0.0372411,0.255664,0.0314919,0.0913833,0.0182183,0.0688757,0.014319,0.488202,2.58644,0.440041,2.64182,0,3.32613,0.0219582,0.000596466,0.000987152,3.87342,0.0157365,0.320608,0.0372411,0.255664,0.0314919,0.0913833,0.0182183,0.0688757,0.014319,0.00745144,0.047187,0.00187807,0.017079,0.785089,1.95563,0.0556895,0.27409,2.56233e-05,4.92405e-05,0.488202,2.58644,0.440041,2.64182,0.161552,0.00515373,0.161552,0.00515373,0.161552,0.00515373,0.161552,0.00515373,0.161552,0.00515373,-0.239929,0.062505,-0.0783772,0.0676587,-0.0783772,0.0676587,0,-17.2539,2.51792,-14.7917,2.50345,5.5611,24.9243,-18.5225,3.27952,0.00761274,0.0718634,0.780367,0.484616,0.0883376,0.261965,0.482386,0.2972,4.12094,0.0222365,0.04578,0.014044,1.90801,2.52433,0.0182382,0.0307662,2.51956,0.0375526,0.0155606,0.190524,0.924813,0.147469,0.146467,0.083566,0.0808711,0.0332249,0.0319974,0.24942,0.288827,0.50396,0.473934,0.407749,0.361312,0.673336,0.663455,0.156105,-0.243403,0.00982562,0.0664913,-199.819,-1867.48,-132.967,-19.6955,-15.0618,-2300.63,-72.5217,-1974.94,-2179.73,-477.554,-104.133,-823.188,-289.431,-1246.62,-5617.87,-342.749,-96.9246,-3675.31,-5411.65,0.601245,-1341.69,1.08906,-96.358,-1534.94
-31370.8,1,0.00530085,2,3,0,37688.5,-446.81,-2313.11,-1440.67,-1222.88,-1158.74,-1365.26,-1336.4,-1333.74,-2220.76,-1106.39,-2218.93,-1112.09,-1073.28,1.23941,0.910952,0.710827,0.199092,0.196918,29.8168,0.22817,62.1559,1.1063,0.304395,460.287,0.117921,0.794901,0.099969,0.989504,177.327,0.417312,2.03492,2.42873,4.56426,6.36564,5.13754,555.217,0.433479,0.089875,1.49714,0.0625016,0.90042,18.6337,0.219397,0.00346425,4.58534,1.82083,48.7424,0.20305,0.356186,0.852498,0.280667,0.142849,0.468589,0.124155,0.392973,0.0924814,0.41685,0.0866463,0.356238,0.0390797,0.661974,0.0337065,0.603224,3.20228,0.0281756,2.99777,0.0170306,0.320327,0.0417369,0.271331,0.0360277,0.0830102,0.017142,0.0604137,0.0144661,0.385018,1.5595,0.504495,2.70506,0,3.20228,0.0281756,0.000454127,0.000966446,2.99777,0.0170306,0.320327,0.0417369,0.271331,0.0360277,0.0830102,0.017142,0.0604137,0.0144661,0.00541692,0.0217351,0.00124988,0.00743116,0.217273,0.615638,0.0406606,0.155949,1.68754e-05,3.58555e-05,0.385018,1.5595,0.504495,2.70506,0.104029,0.00542912,0.104029,0.00542912,0.104029,0.00542912,0.104029,0.00542912,0.104029,0.00542912,-0.149828,0.0381703,-0.0457984,0.0435994,-0.0457984,0.0435994,0,-17.1531,2.65707,-14.588,2.2861,5.70521,24.8783,-18.7645,3.24441,0.00482395,0.0597575,0.208858,0.374798,0.0785573,0.241394,0.481639,0.309383,3.00349,0.0291532,0.0216636,0.014625,0.595033,1.50906,0.016315,0.0357105,2.81142,0.0396333,0.0165943,0.253713,0.895352,0.130405,0.126197,0.0969323,0.0830507,0.0416125,0.0352824,0.329835,0.27951,0.476457,0.376346,0.413483,0.392,0.705886,0.674723,0.0993417,-0.146234,0.00547293,0.0455163,-33.503,-927.254,-132.056,-65.3107,-19.5968,-2753.91,-43.2342,-688.023,-1877.02,-419.629,-87.452,-715.941,-289.005,-1003.5,-5101.73,-871.106,-94.0177,-1959.07,-4409.56,3.95332,-1205.75,1.04203,-66.5565,-1448.52
-24686.3,1,0.00961161,2,3,0,31308.7,-446.829,-2313.18,-1440.63,-1222.89,-1158.76,-1365.29,-1336.52,-1333.63,-2220.68,-1106.36,-2218.89,-1112.12,-1073.26,1.15938,0.912986,0.773348,0.190711,0.194422,29.7786,0.224848,62.3136,1.18581,0.301688,439.108,0.15212,0.946921,0.0860562,0.947294,138.006,0.399893,2.07674,2.4527,4.88789,6.17757,5.18162,562.192,0.431668,0.0920807,1.52569,0.0639789,0.881672,17.879,0.224908,0.0035752,4.60885,1.73492,47.1594,0.202521,0.39224,0.746019,0.273311,0.126095,0.411903,0.0932282,0.297711,0.106013,0.405753,0.096849,0.372442,0.045522,0.646483,0.039724,0.620143,3.26749,0.0433024,2.17388,0.0177441,0.314238,0.0468569,0.28227,0.0449171,0.0766635,0.0167044,0.0542281,0.0154334,0.292488,0.947096,0.584625,2.75791,0,3.26749,0.0433024,0.000579449,0.0017617,2.17388,0.0177441,0.314238,0.0468569,0.28227,0.0449171,0.0766635,0.0167044,0.0542281,0.0154334,0.0145576,0.0303581,0.0037498,0.00944678,0.160253,0.216807,0.0303341,0.0925181,1.31218e-05,2.7706e-05,0.292488,0.947096,0.584625,2.75791,0.115561,0.0104578,0.115561,0.0104578,0.115561,0.0104578,0.115561,0.0104578,0.115561,0.0104578,-0.14868,0.0240115,-0.0331184,0.0344694,-0.0331184,0.0344694,0,-17.1419,2.88782,-14.506,2.19571,5.76355,24.8606,-18.9456,3.08527,0.0155489,0.0542653,0.172744,0.31172,0.0815626,0.29181,0.510353,0.335105,2.18344,0.0438775,0.0322349,0.0162658,0.210834,0.967478,0.0158393,0.0434887,2.91647,0.0470415,0.0187421,0.201982,0.758562,0.130936,0.0915553,0.102427,0.0955115,0.0440401,0.0406996,0.296894,0.270878,0.413795,0.292712,0.4104,0.353377,0.624197,0.596839,0.109748,-0.150964,0.00142063,0.0255067,-56.2381,-917.368,-115.948,-102.752,-17.1158,-1481.07,-24.2669,-479.824,-1554.77,-374.481,-77.1489,-608.657,-279.781,-735.76,-4270.41,-613.892,-76.5823,-868.468,-3521.94,4.92806,-998.62,0.837156,-41.6157,-1404.62
