,experiment_code,enzyme_code,dG_0,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
100,C0.30,r5p_c_EX,-108.715,-116.48587834796226,-116.48587834796226,-116.48587834796226,-116.48587834796226,-116.48587834796226,-116.49250150246718,-116.63217786230413,-116.64142157564832,-116.64139119181948
200,C0.30,r5p_c_EX,-108.715,-116.48256552181232,-116.48256552181232,-116.48256552181232,-116.48256552181232,-116.48256552181232,-116.48958518739445,-116.62667209832851,-116.63832050514709,-116.638300223946
300,C0.30,r5p_c_EX,-108.715,-116.4058798068077,-116.4058798068077,-116.4058798068077,-116.4058798068077,-116.40589094423899,-116.43189357575196,-116.59371894459159,-116.59591712440454,-116.59589649328164
400,C0.30,r5p_c_EX,-108.715,-116.19170250380024,-116.19170250380024,-116.19170250380024,-116.19170250380024,-116.19171464633283,-116.20940371968636,-116.37279333874459,-116.3756360603198,-116.37556841434501
500,C0.30,r5p_c_EX,-108.715,-116.86959779620067,-116.86959779620067,-116.86959779620067,-116.86959779620067,-116.86967169291509,-116.91688192541753,-117.08061714987602,-117.08067653304985,-117.08060866644935
600,C0.30,r5p_c_EX,-108.715,-116.07552552863156,-116.07552552863156,-116.07552552863156,-116.07552552863156,-116.07552552863156,-116.07988643581143,-116.1869745409948,-116.20589289167474,-116.20586874505932
700,C0.30,r5p_c_EX,-108.715,-116.99333972409903,-116.99333972409903,-116.99333972409903,-116.99333972409903,-116.99333972409903,-116.99841366076524,-117.12568454333268,-117.14647352989483,-117.14635787325939
800,C0.30,r5p_c_EX,-108.715,-116.10611823910858,-116.10611823910858,-116.10611823910858,-116.10611823910858,-116.10613080819721,-116.116541234077,-116.27396041380389,-116.280248412091,-116.28013124458924
900,C0.30,r5p_c_EX,-108.715,-117.23337452799795,-117.23337452799795,-117.23337452799795,-117.23337452799795,-117.23337452799795,-117.23600534476222,-117.33791110251151,-117.35381167500209,-117.35375088927637
1000,C0.30,r5p_c_EX,-108.715,-116.40418633511075,-116.40418633511075,-116.40418633511075,-116.40418633511075,-116.40418633511075,-116.41241999560935,-116.55171535104682,-116.55667740744722,-116.55660404557383
1100,C0.30,r5p_c_EX,-108.715,-117.31126382118745,-117.31126382118745,-117.31126382118745,-117.31126382118745,-117.31127928047275,-117.33419952148851,-117.48659973330436,-117.48877372571366,-117.48874494356825
