,experiment_code,reaction_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
0,C0.05,PGI,10.443,10.3751,9.73227,5.63018,0.434962,0.33713000000000004,0.337064,0.336973,0.336554
1,C0.05,PFK,0.326154,0.32626700000000003,0.327303,0.33282,0.337833,0.337663,0.337597,0.337592,0.3376
2,C0.05,FBA,0.32614099999999996,0.32614099999999996,0.32614899999999997,0.32661599999999996,0.33070900000000003,0.336638,0.337592,0.337592,0.3376
3,C0.05,TPI,0.310683,0.310668,0.310639,0.310248,0.309774,0.31969899999999996,0.321317,0.321309,0.321335
4,C0.05,GAPD,0.637867,0.637867,0.637868,0.637901,0.641075,0.657371,0.660085,0.660379,0.6598649999999999
5,C0.05,PGK,0.637875,0.6378729999999999,0.637868,0.637899,0.641057,0.657353,0.660085,0.660379,0.6598649999999999
6,C0.05,GPM,0.637681,0.6377659999999999,0.637865,0.6378689999999999,0.638625,0.651293,0.659996,0.660379,0.6598649999999999
7,C0.05,ENO,0.637872,0.6378689999999999,0.637865,0.637867,0.638469,0.6509020000000001,0.659991,0.660379,0.6598649999999999
8,C0.05,PYK,0.6378659999999999,0.6378659999999999,0.6378659999999999,0.6378659999999999,0.638001,0.649363,0.6599659999999999,0.660379,0.6598649999999999
9,C0.05,G6PDH2r,0.129197,0.129192,0.129135,0.12856800000000002,0.12312999999999999,0.08499580000000001,0.015404,0.00943645,0.00897206
10,C0.05,PGL,0.00735986,0.00735999,0.00736135,0.007374899999999999,0.00750503,0.00842743,0.0100131,0.00942542,0.00897141
11,C0.05,GND,0.00721238,0.00721238,0.00721242,0.00721248,0.00719569,0.00749365,0.00845741,0.00921914,0.00895709
12,C0.05,RPE,0.00157554,0.00157554,0.00157553,0.00157218,0.00153523,0.00169539,0.00206361,0.00187488,0.00146008
13,C0.05,RKI,0.00562194,0.00562194,0.00562194,0.005622,0.00562668,0.00570583,0.00622979,0.00732243,0.00749549
14,C0.05,TKL1,0.00107501,0.00107501,0.00107501,0.00107494,0.00106821,0.00103439,0.0011364,0.001482,0.0009317739999999999
15,C0.05,TKL2,0.000445772,0.000444965,0.000437314,0.00038783800000000005,0.000322366,0.00031200900000000003,0.000286245,0.000307466,0.000522357
16,C0.05,TAL,0.000448014,0.000446026,0.000427501,0.000320694,0.00021078400000000002,0.000223259,0.000246628,0.000311494,0.000523604
17,C0.05,pyr_c_EX,0.637864,0.637864,0.637864,0.637864,0.6378659999999999,0.639733,0.659184,0.660381,0.659866
18,C0.05,dhap_c_EX,0.0154902,0.0154902,0.0154902,0.015491,0.015585900000000001,0.0161222,0.016271,0.016283199999999998,0.0162649
19,C0.05,r5p_c_EX,0.00451476,0.00451476,0.00451476,0.00451478,0.00451506,0.00452251,0.00475474,0.00579426,0.00656042
20,C0.11,PGI,13.2912,13.2301,12.6424,8.47989,1.1379700000000001,0.753063,0.751947,0.751274,0.7498229999999999
21,C0.11,PFK,0.726058,0.726272,0.728282,0.7406,0.756192,0.755143,0.7541359999999999,0.753991,0.754031
22,C0.11,FBA,0.726037,0.726037,0.726042,0.726433,0.7326239999999999,0.7501479999999999,0.753977,0.753992,0.754031
23,C0.11,TPI,0.698796,0.6987949999999999,0.698775,0.698435,0.698469,0.72011,0.724805,0.724772,0.724841
24,C0.11,GAPD,1.42783,1.42783,1.42784,1.42791,1.4336,1.47302,1.48169,1.48195,1.48114
25,C0.11,PGK,1.42772,1.42779,1.42784,1.42791,1.4335799999999999,1.47295,1.48167,1.48195,1.48114
26,C0.11,GPM,1.42852,1.4284299999999999,1.4279899999999999,1.4278600000000001,1.42872,1.4434,1.47607,1.48195,1.48114
27,C0.11,ENO,1.42784,1.42784,1.4278600000000001,1.4278600000000001,1.42842,1.44151,1.47571,1.48196,1.48114
28,C0.11,PYK,1.42782,1.42782,1.42782,1.42782,1.42785,1.43439,1.47432,1.48196,1.48114
29,C0.11,G6PDH2r,0.11598699999999999,0.11598599999999999,0.11598,0.115915,0.115274,0.10926300000000001,0.0729666,0.025779200000000002,0.0234686
30,C0.11,PGL,0.021612799999999998,0.021612799999999998,0.021613,0.0216152,0.0216368,0.0218362,0.0229132,0.023729499999999997,0.023467500000000002
